sample_id,voice_id,voice_name,gender,accent,age_group,sentence_id,sentence_text,augmentation_type,filepath,duration_seconds
Alice_british_s07_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Alice_british/clean/sentence_07.wav,3.483
Alice_british_s08_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Alice_british/clean/sentence_08.wav,8.034125
Alice_british_s09_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Alice_british/clean/sentence_09.wav,3.0650416666666667
Alice_british_s10_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,10,Please review the quarterly report before the deadline,clean,audio/Alice_british/clean/sentence_10.wav,3.204375
Roger_american_s01_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Roger_american/clean/sentence_01.wav,2.8792916666666666
Roger_american_s02_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Roger_american/clean/sentence_02.wav,2.600625
Roger_american_s03_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,3,She sells seashells by the seashore,clean,audio/Roger_american/clean/sentence_03.wav,2.229125
Roger_american_s04_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Roger_american/clean/sentence_04.wav,3.0185833333333334
Roger_american_s05_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Roger_american/clean/sentence_05.wav,2.414875
Roger_american_s06_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,6,"Hello, how are you?",clean,audio/Roger_american/clean/sentence_06.wav,1.4860833333333334
Roger_american_s07_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Roger_american/clean/sentence_07.wav,3.0185833333333334
Roger_american_s08_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Roger_american/clean/sentence_08.wav,6.9195416666666665
Roger_american_s09_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Roger_american/clean/sentence_09.wav,2.8328333333333333
Roger_american_s10_clean,Roger_american,"Roger - Laid-Back, Casual, Resonant",male,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Roger_american/clean/sentence_10.wav,2.8328333333333333
George_british_s01_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/George_british/clean/sentence_01.wav,2.7399583333333335
George_british_s02_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/George_british/clean/sentence_02.wav,2.461333333333333
George_british_s03_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,3,She sells seashells by the seashore,clean,audio/George_british/clean/sentence_03.wav,2.1826666666666665
George_british_s04_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/George_british/clean/sentence_04.wav,3.29725
George_british_s05_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/George_british/clean/sentence_05.wav,3.0185833333333334
George_british_s06_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,6,"Hello, how are you?",clean,audio/George_british/clean/sentence_06.wav,1.4860833333333334
George_british_s07_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/George_british/clean/sentence_07.wav,3.1115
George_british_s08_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/George_british/clean/sentence_08.wav,6.966
George_british_s09_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/George_british/clean/sentence_09.wav,2.7399583333333335
George_british_s10_clean,George_british,"George - Warm, Captivating Storyteller",male,british,unknown,10,Please review the quarterly report before the deadline,clean,audio/George_british/clean/sentence_10.wav,2.8792916666666666
Charlie_australian_s01_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Charlie_australian/clean/sentence_01.wav,2.6470833333333332
Charlie_australian_s02_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Charlie_australian/clean/sentence_02.wav,2.229125
Charlie_australian_s03_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,3,She sells seashells by the seashore,clean,audio/Charlie_australian/clean/sentence_03.wav,1.9969166666666667
Charlie_australian_s04_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Charlie_australian/clean/sentence_04.wav,2.7399583333333335
Charlie_australian_s05_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Charlie_australian/clean/sentence_05.wav,2.322
Charlie_australian_s06_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,6,"Hello, how are you?",clean,audio/Charlie_australian/clean/sentence_06.wav,1.4860833333333334
Charlie_australian_s07_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Charlie_australian/clean/sentence_07.wav,3.0185833333333334
Charlie_australian_s08_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Charlie_australian/clean/sentence_08.wav,7.476833333333333
Charlie_australian_s09_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Charlie_australian/clean/sentence_09.wav,2.6470833333333332
Charlie_australian_s10_clean,Charlie_australian,"Charlie - Deep, Confident, Energetic",male,australian,unknown,10,Please review the quarterly report before the deadline,clean,audio/Charlie_australian/clean/sentence_10.wav,2.8792916666666666
Laura_american_s01_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Laura_american/clean/sentence_01.wav,2.7399583333333335
Laura_american_s02_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Laura_american/clean/sentence_02.wav,2.50775
Laura_american_s03_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,3,She sells seashells by the seashore,clean,audio/Laura_american/clean/sentence_03.wav,2.043375
Laura_american_s04_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Laura_american/clean/sentence_04.wav,3.1115
Laura_american_s05_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Laura_american/clean/sentence_05.wav,3.0650416666666667
Laura_american_s06_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,6,"Hello, how are you?",clean,audio/Laura_american/clean/sentence_06.wav,1.34675
Laura_american_s07_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Laura_american/clean/sentence_07.wav,3.0650416666666667
Laura_american_s08_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Laura_american/clean/sentence_08.wav,6.966
Laura_american_s09_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Laura_american/clean/sentence_09.wav,2.6935416666666665
Laura_american_s10_clean,Laura_american,"Laura - Enthusiast, Quirky Attitude",female,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Laura_american/clean/sentence_10.wav,2.925708333333333
Daniel_british_s01_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Daniel_british/clean/sentence_01.wav,3.1579166666666665
Daniel_british_s02_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Daniel_british/clean/sentence_02.wav,3.0650416666666667
Daniel_british_s03_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,3,She sells seashells by the seashore,clean,audio/Daniel_british/clean/sentence_03.wav,2.6470833333333332
Daniel_british_s04_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Daniel_british/clean/sentence_04.wav,3.9009583333333335
Daniel_british_s05_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Daniel_british/clean/sentence_05.wav,4.226041666666666
Daniel_british_s06_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,6,"Hello, how are you?",clean,audio/Daniel_british/clean/sentence_06.wav,1.4860833333333334
Daniel_british_s07_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Daniel_british/clean/sentence_07.wav,3.204375
Daniel_british_s08_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Daniel_british/clean/sentence_08.wav,9.47375
Daniel_british_s09_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Daniel_british/clean/sentence_09.wav,2.972166666666667
Daniel_british_s10_clean,Daniel_british,Daniel - Steady Broadcaster,male,british,unknown,10,Please review the quarterly report before the deadline,clean,audio/Daniel_british/clean/sentence_10.wav,3.5294583333333334
Callum_american_s01_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Callum_american/clean/sentence_01.wav,3.1579166666666665
Callum_american_s02_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Callum_american/clean/sentence_02.wav,2.7864166666666668
Callum_american_s03_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,3,She sells seashells by the seashore,clean,audio/Callum_american/clean/sentence_03.wav,2.600625
Callum_american_s04_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Callum_american/clean/sentence_04.wav,3.761625
Callum_american_s05_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Callum_american/clean/sentence_05.wav,3.8080833333333333
Callum_american_s06_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,6,"Hello, how are you?",clean,audio/Callum_american/clean/sentence_06.wav,1.5789583333333332
Callum_american_s07_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Callum_american/clean/sentence_07.wav,3.622333333333333
Callum_american_s08_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Callum_american/clean/sentence_08.wav,8.219875
Callum_american_s09_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Callum_american/clean/sentence_09.wav,3.1115
Callum_american_s10_clean,Callum_american,Callum - Husky Trickster,male,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Callum_american/clean/sentence_10.wav,3.5294583333333334
River_american_s01_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/River_american/clean/sentence_01.wav,2.6470833333333332
River_american_s02_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/River_american/clean/sentence_02.wav,2.3684583333333333
River_american_s03_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,3,She sells seashells by the seashore,clean,audio/River_american/clean/sentence_03.wav,2.13625
River_american_s04_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/River_american/clean/sentence_04.wav,2.8328333333333333
River_american_s05_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/River_american/clean/sentence_05.wav,2.1826666666666665
River_american_s06_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,6,"Hello, how are you?",clean,audio/River_american/clean/sentence_06.wav,1.253875
River_american_s07_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/River_american/clean/sentence_07.wav,2.8328333333333333
River_american_s08_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/River_american/clean/sentence_08.wav,7.1982083333333335
River_american_s09_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/River_american/clean/sentence_09.wav,2.6935416666666665
River_american_s10_clean,River_american,"River - Relaxed, Neutral, Informative",neutral,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/River_american/clean/sentence_10.wav,2.7399583333333335
Harry_american_s01_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Harry_american/clean/sentence_01.wav,2.8792916666666666
Harry_american_s02_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Harry_american/clean/sentence_02.wav,2.600625
Harry_american_s03_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,3,She sells seashells by the seashore,clean,audio/Harry_american/clean/sentence_03.wav,2.0897916666666667
Harry_american_s04_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Harry_american/clean/sentence_04.wav,3.622333333333333
Harry_american_s05_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Harry_american/clean/sentence_05.wav,3.8080833333333333
Harry_american_s06_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,6,"Hello, how are you?",clean,audio/Harry_american/clean/sentence_06.wav,1.6718333333333333
Harry_american_s07_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Harry_american/clean/sentence_07.wav,3.204375
Harry_american_s08_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Harry_american/clean/sentence_08.wav,6.966
Harry_american_s09_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Harry_american/clean/sentence_09.wav,2.7399583333333335
Harry_american_s10_clean,Harry_american,Harry - Fierce Warrior,male,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Harry_american/clean/sentence_10.wav,2.8792916666666666
Liam_american_s01_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Liam_american/clean/sentence_01.wav,2.7399583333333335
Liam_american_s02_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Liam_american/clean/sentence_02.wav,2.5542083333333334
Liam_american_s03_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,3,She sells seashells by the seashore,clean,audio/Liam_american/clean/sentence_03.wav,2.1826666666666665
Liam_american_s04_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Liam_american/clean/sentence_04.wav,3.575875
Liam_american_s05_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Liam_american/clean/sentence_05.wav,2.8792916666666666
Liam_american_s06_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,6,"Hello, how are you?",clean,audio/Liam_american/clean/sentence_06.wav,1.6254166666666667
Liam_american_s07_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Liam_american/clean/sentence_07.wav,2.925708333333333
Liam_american_s08_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Liam_american/clean/sentence_08.wav,7.430375
Liam_american_s09_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Liam_american/clean/sentence_09.wav,2.925708333333333
Liam_american_s10_clean,Liam_american,"Liam - Energetic, Social Media Creator",male,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Liam_american/clean/sentence_10.wav,2.925708333333333
Matilda_american_s01_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Matilda_american/clean/sentence_01.wav,2.8792916666666666
Matilda_american_s02_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Matilda_american/clean/sentence_02.wav,2.5542083333333334
Matilda_american_s03_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,3,She sells seashells by the seashore,clean,audio/Matilda_american/clean/sentence_03.wav,2.0897916666666667
Matilda_american_s04_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Matilda_american/clean/sentence_04.wav,3.1115
Matilda_american_s05_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Matilda_american/clean/sentence_05.wav,2.7864166666666668
Matilda_american_s06_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,6,"Hello, how are you?",clean,audio/Matilda_american/clean/sentence_06.wav,1.5789583333333332
Matilda_american_s07_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Matilda_american/clean/sentence_07.wav,2.972166666666667
Matilda_american_s08_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Matilda_american/clean/sentence_08.wav,7.894791666666666
Matilda_american_s09_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Matilda_american/clean/sentence_09.wav,2.7864166666666668
Matilda_american_s10_clean,Matilda_american,"Matilda - Knowledgable, Professional",female,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Matilda_american/clean/sentence_10.wav,2.8792916666666666
Will_american_s01_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Will_american/clean/sentence_01.wav,3.0185833333333334
Will_american_s02_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Will_american/clean/sentence_02.wav,2.6470833333333332
Will_american_s03_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,3,She sells seashells by the seashore,clean,audio/Will_american/clean/sentence_03.wav,2.2755833333333335
Will_american_s04_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Will_american/clean/sentence_04.wav,3.66875
Will_american_s05_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Will_american/clean/sentence_05.wav,2.50775
Will_american_s06_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,6,"Hello, how are you?",clean,audio/Will_american/clean/sentence_06.wav,1.439625
Will_american_s07_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Will_american/clean/sentence_07.wav,2.8328333333333333
Will_american_s08_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Will_american/clean/sentence_08.wav,6.9195416666666665
Will_american_s09_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Will_american/clean/sentence_09.wav,2.8328333333333333
Will_american_s10_clean,Will_american,Will - Relaxed Optimist,male,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Will_american/clean/sentence_10.wav,2.972166666666667
Jessica_american_s01_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Jessica_american/clean/sentence_01.wav,2.7864166666666668
Jessica_american_s02_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Jessica_american/clean/sentence_02.wav,2.2755833333333335
Jessica_american_s03_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,3,She sells seashells by the seashore,clean,audio/Jessica_american/clean/sentence_03.wav,1.9969166666666667
Jessica_american_s04_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Jessica_american/clean/sentence_04.wav,3.483
Jessica_american_s05_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Jessica_american/clean/sentence_05.wav,3.9009583333333335
Jessica_american_s06_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,6,"Hello, how are you?",clean,audio/Jessica_american/clean/sentence_06.wav,1.253875
Jessica_american_s07_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Jessica_american/clean/sentence_07.wav,2.8328333333333333
Jessica_american_s08_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Jessica_american/clean/sentence_08.wav,6.9195416666666665
Jessica_american_s09_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Jessica_american/clean/sentence_09.wav,2.6935416666666665
Jessica_american_s10_clean,Jessica_american,"Jessica - Playful, Bright, Warm",female,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Jessica_american/clean/sentence_10.wav,2.7399583333333335
Eric_american_s01_clean,Eric_american,"Eric - Smooth, Trustworthy",male,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Eric_american/clean/sentence_01.wav,2.50775
Eric_american_s02_clean,Eric_american,"Eric - Smooth, Trustworthy",male,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Eric_american/clean/sentence_02.wav,2.3684583333333333
Eric_american_s03_clean,Eric_american,"Eric - Smooth, Trustworthy",male,american,unknown,3,She sells seashells by the seashore,clean,audio/Eric_american/clean/sentence_03.wav,1.9969166666666667
Eric_american_s04_clean,Eric_american,"Eric - Smooth, Trustworthy",male,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Eric_american/clean/sentence_04.wav,3.0185833333333334
Eric_american_s05_clean,Eric_american,"Eric - Smooth, Trustworthy",male,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Eric_american/clean/sentence_05.wav,2.461333333333333
